Class,Description,GroupValue,Renewal Prob,Number of Months from First Unlock
is_case_rate,"Indicates whether the employer's plan uses a fixed case-rate pricing model (1=yes, 0=no).",0,0.300997,13.642803
is_case_rate,"Indicates whether the employer's plan uses a fixed case-rate pricing model (1=yes, 0=no).",1,0.285069,13.571462
,,,,
allows_registration_emails,"Indicates whether registration emails may be sent to members under this account (1=yes, 0=no).",0,0.310713,13.491298
allows_registration_emails,"Indicates whether registration emails may be sent to members under this account (1=yes, 0=no).",1,0.279252,13.676794
,,,,
unlocked_early,"Indicates that the employee's benefits were unlocked before the standard waiting period (1=yes, 0=no).",0,0.157008,15.567852
unlocked_early,"Indicates that the employee's benefits were unlocked before the standard waiting period (1=yes, 0=no).",1,0.988796,11.979175
,,,,
up_for_first_renewal,"Indicates that the related account is approaching its first renewal cycle (1=yes, 0=no).",0,0.092934,11.991322
up_for_first_renewal,"Indicates that the related account is approaching its first renewal cycle (1=yes, 0=no).",1,0.330004,13.688847
,,,,
deductible_status,Flag indicating whether an employee has a deductible. ,0,0.280551,13.620486
deductible_status,Flag indicating whether an employee has a deductible. ,1,0.296973,13.590883
,,,,
co_pay_or_co_insurance,"Flag indicating where member has cost-sharing arrangement (e.g., copay, coinsurance).",0,0.18467,13.701144
co_pay_or_co_insurance,"Flag indicating where member has cost-sharing arrangement (e.g., copay, coinsurance).",1,0.306526,13.592007
,,,,
is_medically_necessary_preservation_coverage_active,"Coverage is active for medically necessary fertility preservation (e.g., prior to medical treatment).",0,0.132192,13.688259
is_medically_necessary_preservation_coverage_active,"Coverage is active for medically necessary fertility preservation (e.g., prior to medical treatment).",1,0.311717,13.595859
,,,,
is_adoption_coverage_active,Coverage is active for adoption-related services.,0,0.17397,13.56344
is_adoption_coverage_active,Coverage is active for adoption-related services.,1,0.307936,13.603574
,,,,
is_elective_preservation_coverage_active,Coverage is active for elective (non-medical) gamete/embryo preservation.,0,0.144483,13.79953
is_elective_preservation_coverage_active,Coverage is active for elective (non-medical) gamete/embryo preservation.,1,0.311215,13.588133
,,,,
is_art_with_infertility_diagnosis_coverage_active,Coverage is active for assisted reproductive technology (ART) with an infertility diagnosis.,0,0.153461,13.685195
is_art_with_infertility_diagnosis_coverage_active,Coverage is active for assisted reproductive technology (ART) with an infertility diagnosis.,1,0.310758,13.594738
,,,,
is_elective_art_coverage_active,Coverage is active for ART without an infertility diagnosis (elective).,0,0.164344,13.755611
is_elective_art_coverage_active,Coverage is active for ART without an infertility diagnosis (elective).,1,0.309241,13.589021
,,,,
is_gender_affirming_care_coverage_active,Coverage is active for gender-affirming care services.,0,0.290525,13.620227
is_gender_affirming_care_coverage_active,Coverage is active for gender-affirming care services.,1,0.296858,13.475716
,,,,
is_menopause_coverage_active,Coverage is active for menopause care services.,0,0.287745,13.670395
is_menopause_coverage_active,Coverage is active for menopause care services.,1,0.297833,13.480344
,,,,
is_low_t_coverage_active,Coverage is active for low testosterone care services.,0,0.287745,13.670395
is_low_t_coverage_active,Coverage is active for low testosterone care services.,1,0.297833,13.480344
,,,,
is_pregnancy_and_postpartum_coverage_active,Coverage is active for pregnancy and postpartum support.,0,0.263537,13.585316
is_pregnancy_and_postpartum_coverage_active,Coverage is active for pregnancy and postpartum support.,1,0.304234,13.606735
,,,,
is_gestational_carrier_coverage_active,Coverage is active for gestational carrier (surrogacy) support.,0,0.202339,13.663133
is_gestational_carrier_coverage_active,Coverage is active for gestational carrier (surrogacy) support.,1,0.306602,13.593551
,,,,
is_doula_expense_coverage_active,Coverage is active for doula expense reimbursement.,0,0.26383,13.5845
is_doula_expense_coverage_active,Coverage is active for doula expense reimbursement.,1,0.304177,13.60711
,,,,
is_childbirth_class_coverage_active,Coverage is active for childbirth education classes.,0,0.27664,13.59346
is_childbirth_class_coverage_active,Coverage is active for childbirth education classes.,1,0.301286,13.605031
,,,,
is_milk_shipping_coverage_active,Coverage is active for milk shipping services.,0,0.271684,13.593923
is_milk_shipping_coverage_active,Coverage is active for milk shipping services.,1,0.301312,13.603656
,,,,
sex,Sex as recorded in the HR/benefits system. Male = 1; Female = 0,0,0.295178,13.686628
sex,Sex as recorded in the HR/benefits system. Male = 1; Female = 0,1,0.284495,13.439549
,,,,
country_US,"Indicates whether the employee's country is the United States (1=yes, 0=no).",0,0.323161,13.565663
country_US,"Indicates whether the employee's country is the United States (1=yes, 0=no).",1,0.283498,13.610473
,,,,
market_segment_MID,Flag indicating the employer's market segment.,0,0.28617,13.52764
market_segment_MID,Flag indicating the employer's market segment.,1,0.296393,13.668701
,,,,
market_segment_NATIONAL,Flag indicating the employer's market segment.,0,0.295807,13.646277
market_segment_NATIONAL,Flag indicating the employer's market segment.,1,0.265454,13.303464
,,,,
market_segment_SMB,Flag indicating the employer's market segment.,0,0.298752,13.580284
market_segment_SMB,Flag indicating the employer's market segment.,1,0.26378,13.686638
,,,,
market_segment_STRAT,Flag indicating the employer's market segment.,0,0.283217,13.614966
market_segment_STRAT,Flag indicating the employer's market segment.,1,0.343986,13.524321
,,,,
first_unlock_journey_ADOPTION,Flag for the employee's first unlock journey category.,0,0.292039,13.591793
first_unlock_journey_ADOPTION,Flag for the employee's first unlock journey category.,1,0.257865,14.1
,,,,
first_unlock_journey_ASSISTED_REPRODUCTION,Flag for the employee's first unlock journey category.,0,0.268115,13.711345
first_unlock_journey_ASSISTED_REPRODUCTION,Flag for the employee's first unlock journey category.,1,0.419374,13.210914
,,,,
first_unlock_journey_EXPLORING,Flag for the employee's first unlock journey category.,0,0.288433,13.55612
first_unlock_journey_EXPLORING,Flag for the employee's first unlock journey category.,1,0.335664,14.177326
,,,,
first_unlock_journey_GENDER_AFFIRMING_CARE,Flag for the employee's first unlock journey category.,0,0.291549,13.601473
first_unlock_journey_GENDER_AFFIRMING_CARE,Flag for the employee's first unlock journey category.,1,0.178344,12.714286
,,,,
first_unlock_journey_GESTATIONAL,Flag for the employee's first unlock journey category.,0,0.290687,13.601793
first_unlock_journey_GESTATIONAL,Flag for the employee's first unlock journey category.,1,0.338008,13.53112
,,,,
first_unlock_journey_LOW_TESTOSTERONE,Flag for the employee's first unlock journey category.,0,0.303348,13.603451
first_unlock_journey_LOW_TESTOSTERONE,Flag for the employee's first unlock journey category.,1,0.09497,13.451852
,,,,
first_unlock_journey_MENOPAUSE,Flag for the employee's first unlock journey category.,0,0.306611,13.603656
first_unlock_journey_MENOPAUSE,Flag for the employee's first unlock journey category.,1,0.135512,13.530151
,,,,
first_unlock_journey_PARENTING,Flag for the employee's first unlock journey category.,0,0.295714,13.604236
first_unlock_journey_PARENTING,Flag for the employee's first unlock journey category.,1,0.039881,12.044776
,,,,
first_unlock_journey_PREGNANT,Flag for the employee's first unlock journey category.,0,0.306928,13.556217
first_unlock_journey_PREGNANT,Flag for the employee's first unlock journey category.,1,0.176839,14.167782
,,,,
first_unlock_journey_PRESERVATION,Flag for the employee's first unlock journey category.,0,0.280493,13.464156
first_unlock_journey_PRESERVATION,Flag for the employee's first unlock journey category.,1,0.326529,13.979554
,,,,
first_unlock_journey_SOMETHING_ELSE,Flag for the employee's first unlock journey category.,0,0.296169,13.589942
first_unlock_journey_SOMETHING_ELSE,Flag for the employee's first unlock journey category.,1,0.196776,13.917021
,,,,
first_unlock_journey_TRY_PREGNANT,Flag for the employee's first unlock journey category.,0,0.268959,13.743679
first_unlock_journey_TRY_PREGNANT,Flag for the employee's first unlock journey category.,1,0.401628,13.12921
,,,,
first_unlock_journey_unknown,Flag for the employee's first unlock journey category.,0,0.292874,13.595025
first_unlock_journey_unknown,Flag for the employee's first unlock journey category.,1,0.166099,14.420513
,,,,
second_unlock_journey_ADOPTION,Flag for the employee's second unlock journey category.,0,0.287595,13.592967
second_unlock_journey_ADOPTION,Flag for the employee's second unlock journey category.,1,1,14.013359
,,,,
second_unlock_journey_ASSISTED_REPRODUCTION,Flag for the employee's second unlock journey category.,0,0.240998,13.702314
second_unlock_journey_ASSISTED_REPRODUCTION,Flag for the employee's second unlock journey category.,1,1,13.255789
,,,,
second_unlock_journey_EXPLORING,Flag for the employee's second unlock journey category.,0,0.279488,13.562049
second_unlock_journey_EXPLORING,Flag for the employee's second unlock journey category.,1,1,14.243409
,,,,
second_unlock_journey_GENDER_AFFIRMING_CARE,Flag for the employee's second unlock journey category.,0,0.291161,13.601563
second_unlock_journey_GENDER_AFFIRMING_CARE,Flag for the employee's second unlock journey category.,1,1,12.655172
,,,,
second_unlock_journey_GESTATIONAL,Flag for the employee's second unlock journey category.,0,0.287906,13.601136
second_unlock_journey_GESTATIONAL,Flag for the employee's second unlock journey category.,1,1,13.569647
,,,,
second_unlock_journey_LOW_TESTOSTERONE,Flag for the employee's second unlock journey category.,0,0.287609,13.603704
second_unlock_journey_LOW_TESTOSTERONE,Flag for the employee's second unlock journey category.,1,1,13.43295
,,,,
second_unlock_journey_MENOPAUSE,Flag for the employee's second unlock journey category.,0,0.282394,13.602096
second_unlock_journey_MENOPAUSE,Flag for the employee's second unlock journey category.,1,1,13.567502
,,,,
second_unlock_journey_PARENTING,Flag for the employee's second unlock journey category.,0,0.289379,13.600519
second_unlock_journey_PARENTING,Flag for the employee's second unlock journey category.,1,1,13.610108
,,,,
second_unlock_journey_PREGNANT,Flag for the employee's second unlock journey category.,0,0.26424,13.608613
second_unlock_journey_PREGNANT,Flag for the employee's second unlock journey category.,1,1,13.54538
,,,,
second_unlock_journey_PRESERVATION,Flag for the employee's second unlock journey category.,0,0.233847,13.471696
second_unlock_journey_PRESERVATION,Flag for the employee's second unlock journey category.,1,1,13.97199
,,,,
second_unlock_journey_SOMETHING_ELSE,Flag for the employee's second unlock journey category.,0,0.285459,13.593907
second_unlock_journey_SOMETHING_ELSE,Flag for the employee's second unlock journey category.,1,1,13.830073
,,,,
second_unlock_journey_TRY_PREGNANT,Flag for the employee's second unlock journey category.,0,0.248332,13.668725
second_unlock_journey_TRY_PREGNANT,Flag for the employee's second unlock journey category.,1,1,13.322091
,,,,
second_unlock_journey_not_unlocked,Flag for the employee's second unlock journey category.,0,1,13.600611
second_unlock_journey_not_unlocked,Flag for the employee's second unlock journey category.,1,0,
,,,,
program_type_CORE,Flag indicating the program type for the account.,0,0.308697,13.593211
program_type_CORE,Flag indicating the program type for the account.,1,0.105743,13.832027
,,,,
program_type_PRO,Flag indicating the program type for the account.,0,0.105743,13.832027
program_type_PRO,Flag indicating the program type for the account.,1,0.308697,13.593211
,,,,
outl_current_annual_benefit_maximum,Flag indicating the original value was outside the normal range.,0,0.289534,13.601935
outl_current_annual_benefit_maximum,Flag indicating the original value was outside the normal range.,1,0.453478,13.525896
,,,,
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,0,0.22171,13.525474
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,2000,0.210227,13.466216
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,2500,0.277778,14.207407
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,3000,0.160714,12.805556
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,3750,0.208333,12.6
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,4000,0.288828,14.103774
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,5000,0.24552,13.664409
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,6000,0.276543,13.848214
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,6500,0.403846,14.571429
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,7000,0.342857,12.416667
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,7500,0.237057,13.517241
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,8000,0.370787,14.598485
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,8750,0.181818,12.5
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,10000,0.290197,13.737561
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,15000,0.289221,13.490248
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,17500,0.416667,12
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,18000,0.342857,12.472222
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,19232,0.263158,13.5
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,20000,0.312799,13.731174
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,25000,0.213814,13.034345
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,30000,0.370868,13.612661
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,35000,0.355477,13.359841
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,40000,0.393713,13.670017
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,44000,0.321586,13.479452
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,45000,0.397706,13.572115
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,50000,0.382452,13.748824
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,60000,0.357886,13.588372
