Variable,Friendly Name,Type,Description
allows_registration_emails,Allows Registration Emails,integer (0/1),"Indicates whether registration emails may be sent to members under this account (1=yes, 0=no)."
article_views_total,Total Article Views,integer (count),Total number of article views by the employee during the observation window.
adoption_article_views,Article views: Adoption,integer (count),Number of 'Article views: Adoption' events recorded for the employee during the observation window.
adoption_article_views_flag,Any Adoption Article Views,integer (0/1),Indicator that the employee had at least one 'Article views: Adoption' event during the observation window.
adoption_guide_views,Guide views: Adoption,integer (count),Number of 'Guide views: Adoption' events recorded for the employee during the observation window.
adoption_guide_views_flag,Any Adoption Guide Views,integer (0/1),Indicator that the employee had at least one 'Guide views: Adoption' event during the observation window.
benefit_guide_views,Benefit guide views,integer (count),Number of 'Benefit guide views' events recorded for the employee during the observation window.
benefit_guide_views_flag,Any Benefit Guide Views,integer (0/1),Indicator that the employee had at least one 'Benefit guide views' event during the observation window.
match_interaction,Provider Match interactions,integer (count),Number of provider 'Match interactions' events recorded for the employee during the observation window.
match_interaction_flag,Any provider Match Interaction,integer (0/1),Indicator that the employee had at least one provider 'Match interactions' event during the observation window.
credit_card_requested,Credit card requests,integer (count),Number of 'Credit card requests' events recorded for the employee during the observation window.
credit_card_requested_flag,Any Credit Card Requested,integer (0/1),Indicator that the employee had at least one 'Credit card requests' event during the observation window.
expense_created,Expense submissions,integer (count),Number of 'Expense submissions' events recorded for the employee during the observation window.
expense_created_flag,Any Expense Created,integer (0/1),Indicator that the employee had at least one 'Expense submissions' event during the observation window.
fertility_article_views,Article views: Fertility,integer (count),Number of 'Article views: Fertility' events recorded for the employee during the observation window.
fertility_article_views_flag,Any Fertility Article Views,integer (0/1),Indicator that the employee had at least one 'Article views: Fertility' event during the observation window.
fertility_guide_views,Guide views: Fertility,integer (count),Number of 'Guide views: Fertility' events recorded for the employee during the observation window.
fertility_guide_views_flag,Any Fertility Guide Views,integer (0/1),Indicator that the employee had at least one 'Guide views: Fertility' event during the observation window.
gac_article_views,Article views: Gender-affirming care,integer (count),Number of 'Article views: Gender-affirming care' events recorded for the employee during the observation window.
gac_article_views_flag,Any Gac Article Views,integer (0/1),Indicator that the employee had at least one 'Article views: Gender-affirming care' event during the observation window.
gest_surrogacy_article_views,Article views: Gestational surrogacy/donor assistance,integer (count),Number of 'Article views: Gestational surrogacy/donor assistance' events recorded for the employee during the observation window.
gest_surrogacy_article_views_flag,Any Gest Surrogacy Article Views,integer (0/1),Indicator that the employee had at least one 'Article views: Gestational surrogacy/donor assistance' event during the observation window.
gest_surrogacy_guide_views,Guide views: Gestational surrogacy/donor assistance,integer (count),Number of 'Guide views: Gestational surrogacy/donor assistance' events recorded for the employee during the observation window.
gest_surrogacy_guide_views_flag,Any Gest Surrogacy Guide Views,integer (0/1),Indicator that the employee had at least one 'Guide views: Gestational surrogacy/donor assistance' event during the observation window.
